,filename,Catalog number,Title 1 (Muktabodha),"Version: if only one version (default) = blank; if there is more than one version: version 1, 2, 3, etc.",Version: Based on: xxx: Bibliographical entry: Editor,"Version: Duplicates: if version 2, 3, etc. = ""catalogue number""",Version: General Remarks,Version: Internal Remarks,Version: Completeness: incomplete | fragments | excerpts | uncertain,Version: Completness: further notes and specifications,"Title source: If not specified=MB, otherwise: Intenal/External+type (e.g. Colophon), if reconstructed add *",Title 2 (Muktabodha),"Ancillary to: MB catalogue number, or ilxM- entry specifically created when MB catalogue number is not available","Ancillary Type: Vyākhyātantra | Uttaratantra | Commentary | Sub-commentary| Ritual | Other
 | Excerpts",Ancillary Note (most commonly: if the commentary includes the mūla),Subjects (as in MB),Author,Author/Person ID,Author's name: Source,Alternate name,"Alternate name: Source & Type (e.g. Muktabodha initial description, colophons etc.)",Colophon,Colophon Note
466,saravatIstotram mantrabhAsyam aSTAdazajAtinirNaya-M00576-IAST.txt,M00576,Sarasvatīstotram Mantrabhāsyam Aṣṭādaśajātinirṇaya,,,,,,,,,,,,,"['tantric / āgamic literature', 'tantra / āgama']",,,,,,oṃ asya śrīsarasvatīstotramaṃtrasya āśvalāyana ṛṣiḥ anuṣṭūpchaṃdaḥ śrīvāgvādinīdevatā daivīṃ vācamajamati bījaṃ yadvāgiti śaktiḥ praṇodevīti kīlakaṃ ātmanaḥ sarasvatī devī prasāda siddhyarthe parameśvara prītyarthe pāṭhe viniyogaḥ /// ityaṣṭādaśajātinirṇayaḥ,towards beginning /// at end
467,sarvajJAnottaravRttiH-M00227-IAST.txt,M00227,Sarvajñānottaravṛtti Yogaprakaraṇam,,,,,,,,colophon,,M00327,commentary,,['tantric / āgamic literature'],Aghoraśivācārya,mbP0028,colophon,,,iti lakṣadvayādhyāpaka śrīmadaghoraśivācāryaviracitāyāṃ śrīmatsarvajñānottaravṛttau yogaprakaraṇam,
468,sarvajJAnottara-M00327-IAST.txt,M00327,Sarvajñānottara,,,,,,,,,,,,,"['tantric / āgamic literature', 'śaiva-siddhānta']",,,,,,ātmanaḥ śuciretāni pareṣāmaśucirbhavet | śrīsarvajñānottare kamaṇḍaluprakaraṇaṃ || iti sarvajñānottarapādaḥ samāptaḥ,
469,sarvollasatantra-M00120-IAST.txt,M00120,Sarvollasatantra,,Gopīnātha Kavirāja,,,,,,,,,,,"['tantric / āgamic literature', 'tantra / āgama']",Sarvānandanātha,mbP0087,colophon,,,iti śrīsarvānandanātha viracite sarvollāse triṣaṣṭyullāsaḥ || etāvāneva grantha upalabdhaḥ,
470,sAdhanamAlA Vol. 1-M00342-IAST.txt,M00342,Sādhanamālā Vol. 1,,Bhattacharya Benoytosh,,,,,yes - collection of excerpts - no colophons,,,,,,['tantric / āgamic literature'],,,,,,no,
471,sAdhanamAlA Vol. 2-M00343-IAST.txt,M00343,Sādhanamālā Vol. 2,,Bhattacharya Benoytosh,,,,,yes - collection of excerpts - no colophons,,,,,,['tantric / āgamic literature'],,,,,,no,
,,ilxM00084,Sāmbapañcāśikā,,,,,,,,,,,,,,Śrīsāmba,mbP0123,incipit,,,,
472,sAmbapaJcAzikA-M00076-IAST.txt,M00076,Sāmbapañcāśikā Vivṛti,,,,,,,,colophon,,ilxM00084,commentary,including the mūla,"['tantric / āgamic literature', 'śaiva', 'non-dual śaivism of Kashmir']",Kṣemarāja,mbP0049,colophon,,,iti mahāmāheśvarācāryavaryaśrīmadabhinavaguptapādapadmopajīvirājānakaśrīkṣemarājapraṇītavivṛtisametā śrīsāmbapañcāśikā samāptā | samāpto'yaṃ granthaḥ,
473,sAvaratantramantrasaMgraha-M00643-IAST.txt,M00643,Sāvaratantramantrasaṃgraha,,,,,,,6 chapters,,,,,,['tantra / āgama'],Rāmasiṃha,mbP0124,colophon,,,itiśrīsāvarataṃtremaṃtrasaṃgrahedurgerāmasiṃhakṛtesonāciraiābhya(?)namatikaṃvūtarakalāyāṃupadeśadvārācakrādiṣaṣṭhaḥ prakāśaḥ || yādṛśaṃpustakolokyaṃtādṛśenamayālipimamadoṣanadīyaṃteśuddhāśunajñātayam || saṃvata1956phālguṇasaptamijñavaghamūliḥsarayuśaraṇamūvāsadharagharadakṣikrośaikaṃ,
474,siddhalakSMIpUjApaddhati-M00257-IAST.txt,M00257,Siddhalakṣṃīpūjāpaddhati,,,,,,,,,Vanadurgā Pūjāna,,,,"['tantric / āgamic literature', 'śākta', 'compendium', 'Paddhati']",,,,,,iti saṃkṣiptā siddhalakṣmīpūjāpaddhatiḥ samāptā /// bhagavan śivarātrivratamahaṃ kariṣye nirvighnaṃ sampādaya svāhā | śivarātrivratamidaṃ kariṣyehaṃ mahā pha(...),in middle /// at end
,,ilxM00085,Siddhāntaleśasaṃgraha,,,,,,,,,,,,,,Apyaya Dīkṣita - Same As Mbp0083?,mbP0125,colophon,,,,
475,siddhAntalezasaMgrahaTIkA-M00578-IAST.txt,M00578,Siddhāntaleśasaṃgraha Śrīkṛṣṇālaṃkāra,,,,,,,3 chapters,colophon,,ilxM00085,commentary,,['tantric / āgamic literature'],Kṛṣṇānanda Sarasvatī,mbP0165,colophon,,,iti śrīmatparamahaṃsaparivrājikācāryaśrīmatsvayaṃprakāśānaṃdasarasvatīdivyaśrīcaraṇāraviṃdasaṃlagnarajobhūtasya acyutakṛṣṇānaṃdatīrthasya kṛtau śāstrasiddhāṃtaleśasaṃgrahavyākhyāyāṃ śrīkṛṣṇālaṃkārākhyāyāṃ tṛtīyaḥ parichedaḥ || samāptam ,
,,ilxM00086,Siddhāntaśikhāmaṇi,,,,,,,,,,,,,,Śivayogi Reṇukācārya,mbP0089,colophon ,,,,
476,siddhAntazikhAmaNi-M00207-IAST.txt,M00207,Siddhāntaśikhāmaṇi Tattvapradīpikā,,,,,,,11 chapters,colophon,,ilxM00086,commentary,including the mūla,['śaiva'],Maritoṇḍadārya,mbP0160,colophon,,,iti śrīmatṣaṭsthalabrahmiṇā śivayogināmnā reṇukācāryeṇa viracite vīraśaivadharmanirṇaye siddhāntaśikhāmaṇau reṇukavibhīṣaṇasaṃvāde reṇukaśivaliṅgaikyaprasaṅgo nāmaikaviṃśaḥ paricchedaḥ || śrīsiddhāntaśikhāmaṇiśca samāptaḥ + ADDITIONAL TEXT - iti śrīmatpadavākyapramāṇapārāvāradhurīṇaśrīmaritoṇḍadāryeṇa viracitāyāṃ tattvapradīpikākhyāyāṃ siddhāntaśikhāmaṇivyākhyāyāṃ reṇukavibhīṣaṇasaṃvāde reṇukaśivaliṅgaikyaprasaṅgo nāmaikaviṃśaḥ paricchedaḥ,
477,siddhAntasArapaddhati-M00531-IAST.txt,M00531,Siddhāntasārapaddhati,,,,,,incomplete,,,,,,,"['tantric / āgamic literature', 'śaiva', 'Paddhati']",Bhojadeva,mbP0012,colophon,,,iti mahārājādhirāja śrībhojadeva viracitāyāṃ siddhāntasārapaddhatau nityakarmavidhissamāptaḥ,in middle
,,ilxM00087,Siddhāntasārāvali,,,,,,,,,,,,,,Trilocanaśivācārya,mbP0090,reference (towards incipit) ,,,,
478,siddhāntasārāvali with the commentary of anantaśambhu - I00022.txt,I00022,Siddhāntasārāvali Vyākhyā,,,,,,incomplete,,*,,ilxM00087,commentary,including the mūla,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']",Anantaśambhu,mbP0161,self-reference (towards incipit) ,,,śrīmadvaidyeśaliṅgaṃ paramamunigaṇaiḥ sevitaṃ satpadātye svasya prācyādikā(...) gatayugamanubhiḥ saṃyutaṃ liṅgarūpaiḥ natvānantākhyaśambhurvaragurukaruṇāmbodhisaṃsaktacetā śrīmatsiddhāntasārāvalivipratiparaṃ(...)cmi gūḍhārthasidhyai | jñānasya pratipādite viracitādvātṛṃśa tasyordhvatotvaṣṭāśīti sutā hutā gaṇanayā karmaṇyatāre muniḥ yogo rāvaṇabāhuyugmagaṇanāyuktā prayuktāḥ sadā āyuṣṣaṣṭhimunīndrakliptigaṇanā siddhāntasārāvaliḥ | tatra tāvadāmardakamaṭhanivāsīsakalāgamapāradṛśvā trilocanaśivācāryaḥ susantānāgamasaṃbhūtakāmikādisiddhāntatadbhedaṃ mṛgendrādyāgamamālocya tatra śabdārthayoḥ sāmarthyena labdhapramāṇaślokairanekai(kaiḥ) nirṇītārthaṃ padārthatrayayuktaṃ sapādacatuṣṭayaṃ siddhāntasārāvalī nāmadheyaṃ  grandhaṃ(nthaṃ) cikīrṣuścikīrṣatagranthasyāvighnena būrisamāptyarthaṃ niṣkalamūlamantrasyoccāraṇabhedena turyātītāvasthāsvarūpam /// iti jñānapādaṃ samāptam /// iti siddhāntasārāvalyāṃ kriyāpādaḥ samāptaḥ /// iti siddhāntasārāvalyāṃ yogapādaḥ samāptaḥ /// atha caryāpādaṃ vaktukāmastatrādau,almost at beginning /// in middle
479,siddhAntArthasamuccaya-M00328-IAST.txt,M00328,Siddhāntārthasamuccaya,,,,,,uncertain,? yes,,,,,,"['tantric / āgamic literature', 'śaiva-siddhānta']",,,,,,siddhāntārthasamuccayo gurumukhātprāptaḥ sphuṭaṃ likhyate /// iti sakalāgamasārasaṃgrahe siddhāntasārasamuccaye /// atra granthaḥ samāptimagamat | na jñāyate saṃpūrṇo vāsampūrṇoveti | ādau grantha nāma siddhāntārthasamuccaya iti dattam | caramapaṅktidarśanāt siddhāntasārasamuccaya iti sakalāgamasārasaṃgraha iti vā bhavediti sandihyate,at beginning /// at end /// note of editor (?)
480,siddhilakSmI ArAmika-M00415-IAST.txt,M00415,Siddhilakṣmī Ārāmika,,,,,,uncertain,? yes,,,,,,"['tantra / āgama', 'śākta']",,,,,,iti śrīśrīśrīsiddhilakṣmīmate prakāśe jayadrathe vidyāpīṭhe pratyaṅgirāyāḥ kṣetrāvalīpīṭhastavaḥ samaptaḥ /// paddhatiḥ samāptaḥ /// iti ārātrika vidhiḥ,towards beginning /// in middle /// at end
481,siddhilakSmIkavaca-M00567-IAST.txt,M00567,Siddhilakṣmīkavaca,,,,,,,,,,,,,"['tantra / āgama', 'Paddhati']",,,,,,iti śrītrailokyaḍāre śrīsiddhilakṣmīkavaca samāptaḥ || śubha ,
482,siddhilakSmIkoTyAhutidinakRtya-M00417-IAST.txt,M00417,Siddhilakṣmīkoṭyāhutidinakṛtya,,,,,,,,,,,,,"['tantra / āgama', 'śākta']",,,,,,dinakṛtyavidhi likhyate /// iti dinakṛtya samāptaṃ || śubhaṃ || samvat 811 kāttikaśuklanavamīthvakunhu śrīśrīsumatijayajitāmitramalla deva sanadayakājurāṃ || śubhamastu sarvadā ,at beginning /// at end
483,siddhilakSmIkyutAkSaramAlAmantra-M00418-IAST.txt,M00418,Siddhilakṣmyayutākṣaramālāmantra,,,,,,,,,,,,,"['tantra / āgama', 'śākta']",,,,,,iti śrīkālānalatantre siddhilakṣmyāyutākṣaramālāmantraḥ samāptam,
484,siddhilakSmIkramasthaNDilArcanavidhi-M00569-IAST.txt,M00569,Siddhilakṣmīkramathaṇḍilārcanavidhi,,,,,,,,,,,,,"['tantra / āgama', 'Paddhati']",,,,,,tataḥ śrīsiddhilakṣmīkramathaṇḍilārcanaṃ /// iti śrīthaṇḍilārcanavidhiḥ samāptaḥ || adhivāsanapūjāyāya || upavāsayāya || thvate adhivāsanavidhiḥ samāptaḥ,at beginning /// at end
485,siddhilakSmIkramArcanA-M00568-IAST.txt,M00568,Siddhilakṣmīkramārcana,,,,,,,,,,,,,"['tantra / āgama', 'Paddhati']",,,,,, iti śrīsiddhilakṣmīkramārcanaṃ samāpta + additional text,almost at end 
486,siddhilakSmIdevyArcana-M00416-IAST.txt,M00416,Siddhilakṣmīdevyārcana,,,,,,incomplete,lacking explicit + final colophon,,,,,,"['tantra / āgama', 'śākta']",,,,,,tato siddhilakṃī devyārcanaṃ,at beginning
487,siddhilakSmInityapUjApaddhati-M00571-IAST.txt,M00571,Siddhilakṣmīnityapūjāpaddhati,,,,,,incomplete,,,,,,,"['tantra / āgama', 'Paddhati']",,,,,,no,
488,siddhilakSmImantroddhara-M00570-IAST.txt,M00570,Siddhilakṣmīmantroddhara,,,,,,,,,,,,,"['tantra / āgama', 'Paddhati']",,,,,,śrīśiddhilakṣmīmantrodhārastotra samāpta,
489,siddhilakSmIvidhAna-M00572-IAST.txt,M00572,Siddhilakṣmīvidhāna,,,,,,,,,,,,,"['tantra / āgama', 'Paddhati']",,,,,,bhairava śrotasi vidyāpīṭhe śiracchede jayadrathayāmale mahātantre caturviṃśati sāhasre dvitīyaṣaṭke siddhalakṣmīvidhānaṃ ṣaṭtriṃśatimapaṭalaḥ || tha || saṃ 39 pauśaśu 5 || maṃgala mahāśrī || tha ,
490,siddhilakSmyadhivAsanasthaNDilArcanavidhi-M00565-IAST.txt,M00565,Siddhilakṣmyadhivāsanasthaṇḍilārcanavidhi,,,,,,,,,,,,,"['tantra / āgama', 'Paddhati']",,,,,,tataḥ śrīsiddhilakṣmīkramathaṇḍilārcanaṃ /// adhivāsanakarmaṇi thaṇḍilārcanavidhiḥ samāptaḥ,at beginning /// at end
491,siddhilakSmyayutAkSarI-M00573-IAST.txt,M00573,Siddhilakṣmyayutākṣarī,,,,,,,,,,,,,"['tantra / āgama', 'Paddhati']",,,,,,iti śrīkālānalatantre siddhilakṣmyayutākṣaramālāmantraḥ samāptaṃ || śubha,
492,suprabhedAgama-M00090-IAST.txt,M00090,Suprabhedāgama,,,,,kriyāpāda and caryāpāda,incomplete,lacking explicit+final colophon,,,,,,"['tantric / āgamic literature', 'tantra / āgama']",,,,,,iti tantrasaṃkaravidhipaṭalaḥ ṣaṭpañcāśattamaḥ || iti suprabhede kriyāpādaḥ samāptaḥ /// iti prāyaścittavidhipaṭalodvādaśaḥ || iti suprabhede caryāpādaḥ samāptaḥ /// iti ādhārādheya vidhipaṭalastṛtīyaḥ || iti suprabhedeyogapādaḥ samāptaḥ /// atha jñānapāde śivasṛṣṭividhipaṭalaḥ ,in middle
493,subodhamaJjarI-M00269-IAST.txt,M00269,Subodhamañjarī,,,,,,,,title in colophon is spelled differently,,,,,['tantric / āgamic literature'],Vāmanadatta,mbP0091,colophon,,,salabdha bodho sadbhāvo jīvanmukto vidhīyate | mīmāsāvanasiṃhasya harṣadāttasya sūnanā | kṛtā vāmana dattena svabodhodaryāmañjarī,
494,sUkSmAgama-M00329-IAST.txt,M00329,Sūkṣmāgama,,,,,,incomplete,lacking explicit+final colophon,,,,,,['tantra / āgama'],,,,,, iti sūkṣmatantre śāstre pratiṣṭhātantre arcanavidhipaṭalaḥ ,towards beginning
,,ilxM00088,Somaśambhupaddhati,,,,,,,,,,,,,,Somaśambhu,mbP0126,colophon,,,,
495,somazambhupaddhativyAkhyA-M00220-IAST.txt,M00220,Somaśambhupaddhati Vyākhyā,,,,,,incomplete,lacking incipit; ends with ch. 14,colophon,,ilxM00088,commentary,including the mūla,"['śaiva', 'śaiva-siddhānta', 'Paddhati']",Tryaṃbakaśambhu,mbP0162,colophon,,,iti śrī somaśambhuviracitāṃ śrīmatsomaśambhupaddhatau vā spaṣṭabodhinī tryaṃbakaśambhuviracite caturdaśa ṭīkā samāptā || hariḥ oṃ | śubhamastu,
,,ilxM00089,Saundaryalaharī,,,,,,,,,,,,,,Śaṃkarācārya,mbP0092,catalog,,,,
496,,not stated,Saundaryalaharī Vyākhyā,,,,,,,,colophon,,ilxM00089,commentary,including the mūla,['tantric / āgamic literature'],Lakṣmīdhara,mbP0121 ,colophon,,,iti śrīlollakulasaṃpradāyapravartakabhramarāmbikāvaraprasādasamullasi tamahā sārasvatabhaṭṭalollapatigranthavivaraṇakartṛśrīmahopādhyāyamahādevācāryasaptamena sāhityapārijātasmṛtikalpataruprabandhaprabandhṛlakṣmīdharāryaṣaṣṭhena bharatārṇavapotākhyasāhityamīmāṃsāgranthadvayapraṇetṛviriñcimiśrapañcamena mīmāṃsādvayajīvātunirmātṛpuruṣottamamahopādhyāyanaṣtrāprābhākarāmṛtavāhinīprabhāvalīkhaṇḍanādyanekaprabandhasandarbhapravartakabirudapadamahopādhyāyalakṣmaṇāryapautreṇa nayavivekadīpikāprabandhasaṃvidhātṛmahopādhyāyavidvatsārvabhaumanūtanavyāsādyanekabirudāṅkitaśrīviśvanāthabhaṭṭārakatanayena adhītadaśaśatanayena pārvatīgarbhaśuktimuktāratnena bahūkṛtadhīciratnena lollakulakalaśāmbudhisudhāṃśunā yaśaḥprāṃśunā haritagotrakalpaśākhinā āpastambaśākhinā ṣaḍdarśanīpāradṛśvanā pratipakṣavṛkṣajañjhāmātariśvanā bhramarāmbikāprasādasamāsāditapratibhāviśeṣeṇa bhuvi śeṣeṇa nikhilayāmalatantrārṇavāvagāhanarudreṇa āśrayīkṛtagajapativīrarudreṇa nīlagirisundaracaraṇāravindacañcarīkeṇa vāṇīsahacarīkeṇa sarasvatīvilāsādyanekasmṛtinibandhanalakṣmīdharādyanekasāhityani bandhananayavivekabhūṣaṇādyanekagurumatanibandhanayogadīpikādyane kapātañjalamatanibandhanamahānibandhanākhyamānavadharmaśāstraṭīkākarṇāvataṃsasabarhāvataṃsādyanekakāvyakalpakena āśritajanakalpakena nigrahānugrahakauśikena śrīmahopādhyāyalakṣmīdharadeśikena kṛteyaṃ lakṣmīdharākhyā saundaryalaharīstutivyākhyā /// śrīmahātripurasundarīcaraṇāravindārpaṇamastu /// iti pañcastavī ca samāptā sakalajananīstavaḥ pañcamaḥ,towards beginning /// in middle /// at end
497,saubhAgyakalpadrUma-M00648-IAST.txt,M00648,Saubhāgyakalpadrūma,,,,,,incomplete,"lacking explicit+final colophon, ending mistyped/unclear",,,,,,['tantra / āgama'],,,,,, itiśrīsaubhāgyakalpadrumeprathamaskaṃdhaḥ,in middle
498,saubhAgyatantra-M00649-IAST.txt,M00649,Saubhāgyatantra,,,,,,,11 chapters,,,,,,['tantra / āgama'],,,,,,itiśrīmatsaubhāgyataṃtrepārāyaṇavidhauāmnāyanirūpaṇāṃnāmaikādaśaḥpaṭalaḥ śrīrājarājeśvaryārthaṇamasta,
499,saubhAgyataraGgiNI-M00312-IAST.txt,M00312,Saubhāgyataraṅgiṇī,,,,,,incomplete,lacking explicit+final colophon,,,,,,"['tantric / āgamic literature', 'śākta', 'Paddhati']",Mukunda,mbP0093,colophon,,,iti śrīmanmukundaviracitāyāṃ saubhāgyataraṅgiṇyāṃ prathamālaharī samāptaḥ,
500,saubhAgyaratnAkara-M00577-IAST.txt,M00577,Saubhāgyaratnākara,,,,,,incomplete,lacking explicit+final colophon,,,,,,"['tantric / āgamic literature', 'tantra / āgama']",Vidyānaṃdanātha,mbP0127,colophon,,,iti śrīsaccidānaṃdanātha caraṇāraviṃda dvadvāṃte vasinā śrīśrīvidyānaṃdanāthena viracite saubhāgyaratnākara prathamastaraṃgaḥ /// śrīvidyānaṃdanāthena śivayoḥ priyasūnunā,towards beginning /// at end
,,ilxM00090,Stavacintāmaṇi,,,,,,,,,,,,,,Bhaṭṭa Nārāyaṇa,mbP0094,colophon,,,,
501,stavacintAmaNi-M00089-IAST.txt,M00089,Stavacintāmaṇi Vivṛti,,,,,,,,colophon,,ilxM00090,commentary,including the mūla,"['tantric / āgamic literature', 'śaiva', 'non-dual śaivism of Kashmir']",Kṣemarāja,mbP0049,colophon,,,iti śrīmahāmāheśvarācāryavaryaśrībhaṭṭanārāyaṇaviracitaḥ stavacintāmaṇiḥ samāptaḥ || vivṛtiścātra tatrabhavatstutisūktikārapraśiṣyamahāmāheśvarācāryavaryaśrīmadabhinavaguptapādapadmamadhuparājasya rājānakakṣemarājasya + tilaka + additional text /// iti stvacintāmaṇau granthaprakāśaka0 paṃ0 mukundarāma śāstriṇā viracitaḥ pratiślokaṃ pratipāditārthasaṃkṣepaḥ samāptaḥ || dvitīyapariśiṣṭabhāgaśca samāptaḥ,towards end /// at end
502,stutikusumAJjali-M00260-IAST.txt,M00260,Stutikusumāñjali,,Premavallabha Tripāṭhī,,,,,,,,,,,['śaiva'],Jagaddhara Bhaṭṭa,mbP0095,colophon,,,śrīmadaṣṭottarasahasraśrīsaṃvalitaprātaḥsmaraṇīyapūjyapādaśrīmatparamahaṃsaparivrājakācāryaśrīśrīhariharānandasarasvatī (śrīkarapātrī jī mahārāja) bhagavatpādakiṃkareṇa tripāṭhyu pāhvapremavallabhaśarmaṇā kṛtayā premamakarandanāmnyā ṭīkayā sametaḥ kāśmīrakamahākaviśrīmajjagaddharabhaṭṭaviracitaḥ stutikusumāñjaliḥ samāptaḥ,
,,ilxM00091,Spandakārikā,,,,,,,,,,,,,,Vasugupta,mbP0168,,,,,
,,ilxM00108,Spandakārikā Vṛtti,,,,,,,,,,ilxM00091,commentary,,,Kallaṭa Bhaṭṭa,mbP0096,,,,,
,,ilxM00109,Spandakārikā Tippaṇī,,,,,,,,,,ilxM00091,commentary,,,Rāmakaṇṭha,mbP0013,,,,,
503,spandakArikA-M00067-IAST.txt,M00067,"Spandakārikā Vṛtti, Tippaṇī, Vivṛti",,Mark S. G. Dyczkowski,,,,,,,,"ilxM00091, ilxM00108, ilxM00109, M00352",3 commentaries in one file,including the mūla; 3 interwoven commentaries ,"['śaiva', 'non-dual śaivism of Kashmir', 'spanda']","Kallaṭa Bhaṭṭa, Rāmakaṇṭha, Rāmakaṇṭha","mbP0096, mbP0013, mbP0013",colophon,,,mbP0168,almost at end /// at end
504,spandakArikA with vivRtti by rAmakaNTha-M00352-IAST.txt,M00352,Spandakārikā Vivṛti,,J. C. Chatterji,,,,,,,,ilxM00091,commentary,including the mūla,"['śaiva', 'non-dual śaivism of Kashmir', 'spanda']",Rāmakaṇṭha,mbP0013,colophon,,,saṃpūrṇā iyaṃ vṛttyanusāriṇī spandavivṛtiḥ | kṛtistatrabhayato mahāmāheśvarācāryaśiromaṇirājānakaśrīmadutpaladevapādapadmānujīvino rājānakaśrīrāmakaṇṭhasya iti śivam,
505,spandanirNaya-M00163-IAST.txt,M00163,Spandanirṇaya,,Śāstrī M K,,,,,,,,ilxM00091,commentary,including the mūla,"['tantric / āgamic literature', 'śaiva', 'non-dual śaivism of Kashmir', 'spanda']",Kṣemarāja,mbP0049,colophon,,,samāpto'yaṃ śrīspandanirṇayaḥ || kṛtiḥ śrīpratyabhijñākārapraśiṣyasya mahāmāheśvarācāryaśrīmadabhinavaguptanāthadattopadeśasya śrīkṣemarājasyeti śivam ,
506,spandapradIpikA-M00532-IAST.txt,M00532,Spandapradīpikā,,Mark S. G. Dyczkowski,,,,,,,,ilxM00091,commentary,including the mūla,"['śaiva', 'spanda']",Bhagavatutpala,mbP0097,colophon,,,vāgluṇṭhanārthamanyeṣāṃ vidvanmanyatayā'pi tu | śuddhabolollāsavaśāt kṛtvā spandapradīpikā ///+text /// nārāyaṇasthānaja utpalākhyastrivikramākhyasya suto'gryajanmā | yastena sacchiṣyahitāya dṛbdhā vyākhyā mayaiṣā ca tamonude syāt ///+ additional text /// ityācāryabhagavadutpalaviracitā spandapradīpikā samāptā ||  śubhaṃ bhūyāt,almost at end /// at end 
507,spandasandoha-M00084-IAST.txt,M00084,Spandasandoha,,Śāstrī M R,,,,,,,Spandasaṃdoha,ilxM00091,commentary,including the mūla,"['tantric / āgamic literature', 'śaiva', 'non-dual śaivism of Kashmir', 'spanda']",Kṣemarāja,mbP0049,colophon,,,iti spandasaṃdohaḥ samāptaḥ || kṛtirmahāmāheśvarācāryavaryaśrīmadabhinavaguptapādapadmopajīvino rājānakakṣemarājasya + TILAKA,
,,ilxM00092,Svacchandatantra,,,,,,,,,,,,,,,,,,,,
508,svacchandatantra-M00091-IAST.txt,M00091,Svacchandatantra Uddyota,,,,,,,,colophon,,ilxM00092,commentary,including the mūla,"['tantric / āgamic literature', 'tantra / āgama']",Kṣemarāja,mbP0049,colophon,,,iti śrīsvacchandatantre śrīmahāmāheśvarācāryavaryaśrīkṣemarājaviracitoddyotākhyavyākhyopete chummakāprakāśaḥ nāma pañcadaśaḥ paṭalaḥ,
509,svacchandapaddhati-M00194-IAST.txt,M00194,Svacchandapaddhati,,Prof. Sītalāprasad Ūpādhyāya,,,,,,,,,,,"['tantric / āgamic literature', 'śaiva', 'Paddhati']",Cidānandanātha,mbP0098,colophon,,,iti śrīmaccidānandanāthaviracitāyāṃ svacchandapaddhatyāṃ navamaspandaḥ || oṃ oṃ śubhaṃ bhavatu svacchandapaddhatīḥ samāptaḥ,
510,svAtantrayadIpikA-M00533-IAST.txt,M00533,Svātantrayadīpikā,,,,,,,,,,,,,['non-dual śaivism of Kashmir'],Mānasarāma,mbP0099,colophon (varied spelling),,,iti śrīmahāmāheśvarācāryavarya viracitāyāṃ svātantryadīpikāyāṃ svātantryaśaktyucchalanaṃ nāma caturthollāsaḥ || mahāmāheśvarācāryamansārāmena nirmitā janānāmupakārārthamiyaṃ svātantryadīpikā,
511,haMsasAra-M00264-IAST.txt,M00264,Haṃsasāra,,,,,,incomplete,lacking explicit+final colophon,,,,,,['tantric / āgamic literature'],,,,,,atha haṃsasāraṃ likhyate,at beginning
,,ilxM00093,Haṃsopaniṣat,,,,,,,,,,,,,,,,,,,,
512,haMsopaniSat-M00107-IAST.txt,M00107,Haṃsopaniṣat Vivaraṇa,,Śāstrī Mahādeva,,,,,,colophon,Haṃsa Upaniṣat,ilxM00093,commentary,including the mūla,"['tantric / āgamic literature', 'yoga', 'upaniṣad', 'yogopaniṣad', 'yogopaniṣad']",Brahmayogin,mbP0128,colophon,,,śrīvāsudevendraśiṣyopaniṣadbrahmayoginā | likhitaṃ syādvivaraṇaṃ haṃsopaniṣadaḥ sphuṭam | saṃsopaniṣado vyākhyā saptatyadhiśataṃ smṛtā || iti śrīmadīśādyaṣṭottaraśatopaniṣacchāstravivaraṇe pañcadaśasaṃkhyāpūrakaṃ haṃsopaniṣadvivaraṇaṃ saṃpūrṇam,
,,ilxM00094,Haṭhayogapradīpikā,,,,,,,,,,,,,,Svātmārāma,mbP0100,colophon,,,,
513,haThayogapradIpikA-M00243-IAST.txt,M00243,Haṭhayogapradīpikā Jyotsnā,,,,,with commentary called jyotsna,incomplete,lacking explicit+final colophon,colophon,,ilxM00094,commentary,including the mūla,['yoga'],Brahmānanda,mbP0111,colophon,,,iti śrīsahajānaṃdasaṃtānaciṃtāmaṇisvātmārāmayogīṃdraviracitāyāṃ haṭhapradīpikāyāmāsanavidhikathanaṃnāma prathamopadeśaḥ /// (plus) iti śrīhaṭhapradīpikāyāṃ jyotsnābhidhāyāṃ brahmānaṃdakṛtāyāṃ prathamopadeśaḥ,towards beginning
